author,email,papers,tags
"Cianconi, Paolo",,[],[]
"Hanife, Batul ",,[],[]
"Ciracì, Enrico",,[],[]
"Rignot, Eric ",,[],[]
"Coady, David",,[],[]
"Parry, Ian",,[],[]
"Coldren, Glenn A.",,[],[]
"Langley, J. Adam ",,[],[]
"Cook-Patton, Susan C.",,[],[]
"Drever, C. Ronnie ",,[],[]
"Crist, Eileen",,[],[]
"Mora, Camilo ",,[],[]
"Crooks, Stephen",,[],[]
"Sutton-Grier, Ariana E.",,[],[]
"Crowther, T. W.",,[],[]
"Glick, H. B. ",,[],[]
"Curran, Brendan
",,[],[]
"Robins, Nick ",,[],[]
"Curtis, Philip G.",,[],[]
"Slay, Christy M.",,[],[]
"Brack, Duncan",,[],[]
"da Silva, José Maria Cardoso",,[],[]
"Barbosa, Luís Claudio Fernandes ",,[],[]
"Damschen, Ellen I.",,[],[]
"Brudvig, Lars A.",,[],[]
"Daskalova, Gergana
",,[],[]
"Kamp, Johannes ",,[],[]
"Davis, Kyle Frankel",,[],[]
"Rulli, Maria Cristina ",,[],[]
"Davis, Kimberley T.",,[],[]
"Dobrowski, Solomon Z.",,[],[]
"de Lange, Emiel",,[],[]
"Sze, Jocelyne S.",,[],[]
"DellaSala, Dominick. A.",,[],[]
"Mackey, Brendan George ",,[],[]
"DelVecchia, Amanda G.",,[],[]
"Bruno, John F.",,[],[]
"Dempsey, Jessica 
",,[],[]
"Irvine-Broque, Audrey ",,[],[]
"Descals, Adrià",,[],[]
"Gaveau, David L. A. ",,[],[]
"Detges, Adrien",,[],[]
"Heal, Geoffrey M.",,[],[]
"Delmar, Alejandro",,[],[]
"Di Sacco, Alice",,[],[]
"Hardwick, Kate A.",,[],[]
"Di Marco, Moreno",,[],[]
"Butchart, Stuart H. M. ",,[],[]
"Diagne, Christophe",,[],[]
"Leroy, Boris ",,[],[]
"Díaz, Sandra",,[],[]
"Pascual, Unai ",,[],[]
"Diffenbaugh, Noah S.",,[],[]
"Burke, Marshall",,[],[]
"DiMarco, Moreno",,[],[]
"Ferrier, Simon ",,[],[]
"Dinerstein, Eric",,[],"[""General""]"
"Olson, David ",,[],"[""General""]"
"Baccini, Alessandro ",,[],[]
"Ding, Helen",,[],[]
"Veit, Peter G.",,[],[]
"Dobson, Christen ",,[],[]
"Lawrence, Steven",,[],[]
"Donald, Paul F.",,[],[]
"Fishpool, Lincoln D. C.",,[],[]
"Dooley, Kate",,[],[]
"Stabinsky, Doreen ",,[],[]
"Harler, Curt ",,[],[]
"Drijfhout, Sybren ",,[],[]
"Bathiany, Sebastian ",,[],[]
"Dureuil, Manuel",,[],[]
"Boerder, Kristina ",,[],[]
"Dvorak, M. T. ",,[],[]
"Armour, K. C. ",,[],[]
EASAC,,[],[]
Edelman,,[],[]
"Edler, Daniel",,[],[]
"Guedes, Thaís ",,[],[]
"Electris, Christi",,[],[]
"Humphreys, Joshua ",,[],[]
"Ellis, Erie C.",,[],[]
" Bohle, Martin",,[],[]
"Ellison, David",,[],[]
"Morris, Cindy E.",,[],[]
"Elver, Hilal (Ed.)",,[],[]
"Enquist, Brian J. ",,[],[]
"Feng, Xiao ",,[],[]
"Erb, Karl-Heinz",,[],[]
"Lauk, Christian ",,[],[]
"Kastner, Thomas ",,[],[]
"Esquivel‐Muelbert, Adriane",,[],[]
"Baker, Timothy R.",,[],[]
"Estrada, Alejandro ",,[],[]
"Garber, Paul A.",,[],[]
"Evans, Megan C.",,[],[]
"Carwardine, Josie ",,[],[]
"Everard, Mark",,[],[]
"Johnston, Paul A. ",,[],[]
"Falk, Johan",,[],[]
"Gaffney, Owen ",,[],[]
"Fanning, Andrew L.
",,[],[]
"Hickel, Jason ",,[],[]
FAO,,[],[]
